input_id	dealiased_id	standard_id	short_id
url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	6acIRW4q
url:https://en.wikipedia.org/wiki/Lorem_ipsum	url:https://en.wikipedia.org/wiki/Lorem_ipsum	url:https://en.wikipedia.org/wiki/Lorem_ipsum	H6ysfkLV
url:https://manubot.github.io/try-manubot	url:https://manubot.github.io/try-manubot	url:https://manubot.github.io/try-manubot	ZWuDuPis
doi:10.1101/474403	doi:10.1101/474403	doi:10.1101/474403	LGjXBQ7t
doi:10.1101/515940	doi:10.1101/515940	doi:10.1101/515940	O3pCOA4K
doi:10.1101/502484	doi:10.1101/502484	doi:10.1101/502484	1Pz4wmGn
doi:10.1101/654566	doi:10.1101/654566	doi:10.1101/654566	r2krHy6V
PMID:26945319	PMID:26945319	pubmed:26945319	AOGz11lW
doi:10.1097/MOT.0000000000000306	doi:10.1097/MOT.0000000000000306	doi:10.1097/mot.0000000000000306	W2Ds0TC7
doi:10.1016/j.ab.2013.10.024	doi:10.1016/j.ab.2013.10.024	doi:10.1016/j.ab.2013.10.024	UMCPT0iA
doi:10.1016/j.ab.2021.114321	doi:10.1016/j.ab.2021.114321	doi:10.1016/j.ab.2021.114321	1EK5kIOBS
PMID:24161613	PMID:24161613	pubmed:24161613	B8hLhFif
doi:10.1136/bmj.312.7031.619	doi:10.1136/bmj.312.7031.619	doi:10.1136/bmj.312.7031.619	f1rhxWdV
bioproject:PRJDB3	bioproject:PRJDB3	bioproject:PRJDB3	1E3a0RGzI
4dn:4DNES265ETYQ	4dn:4DNES265ETYQ	4dn.biosource:4DNES265ETYQ	66A8b9EX
geo:GDS1234	geo:GDS1234	geo:GDS1234	O27Gyl5v
